Time,Status
2022-02-28,0.4117647058823529
2022-03-31,0.34946236559139787
2022-04-30,0.09861111111111111
2022-05-31,0.10080645161290322
2022-06-30,0.07083333333333333
2022-07-31,0.043010752688172046
2022-08-31,0.041666666666666664
2022-09-30,0.020833333333333332
2022-10-31,0.11155913978494623
2022-11-30,0.029166666666666667
2022-12-31,0.05779569892473118
2023-01-31,0.043010752688172046
2023-02-28,0.046130952380952384
2023-03-31,0.06720430107526881
2023-04-30,0.013888888888888888
2023-05-31,0.0913978494623656
2023-06-30,0.05277777777777778
2023-07-31,0.033602150537634407
2023-08-31,0.04838709677419355
2023-09-30,0.02638888888888889
2023-10-31,0.006720430107526882
2023-11-30,0.05277777777777778
2023-12-31,0.056451612903225805
2024-01-31,0.06048387096774194
2024-02-29,0.03017241379310345
2024-03-31,0.026881720430107527
2024-04-30,0.0
